"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Mar",2006,2,"Work_day",2,3,2,"6m_to_7m","325m_to_375m","None","N","Y","Y","Y","N","Dry","Daylight","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Mar",2006,2,"Work_day",5,3,2,"6m_to_7m","Less_325m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","No","Collision","Light","N","N","N","N","N"
"Mar",2006,3,"Work_day",2,2,2,"6m_to_7m","325m_to_375m","Less_150m","N","N","N","Y","Y","Dry","Daylight","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Mar",2006,5,"Work_day",5,3,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Heavy","Y","N","N","N","N"
"Apr",2006,7,"Holiday",2,1,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","Y","N","Dry","No_light","Clear","Y","Yes","Other","Light","N","Y","N","N","N"
"Apr",2006,1,"Post_holiday",6,3,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Apr",2006,2,"Work_day",2,2,2,"More_7m","325m_to_375m","150m_to_250m","Y","Y","N","Y","Y","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Apr",2006,5,"Work_day",1,1,2,"6m_to_7m","325m_to_375m","None","Y","N","N","Y","Y","Dry","Daylight","Clear","Y","Yes","Collision","Light","N","N","N","Y","N"
"Apr",2006,1,"Post_holiday",1,2,1,"More_7m","More_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","Y","N","N","N","N"
"Apr",2006,3,"Pre_holiday",2,2,2,"More_7m","325m_to_375m","Less_150m","Y","Y","Y","Y","Y","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","Y"
"Apr",2006,4,"Holiday",3,4,2,"More_7m","325m_to_375m","None","N","N","N","N","N","Dry","Artificial_enough","Clear","Y","Yes","Collision","Light","N","Y","Y","N","N"
"Apr",2006,5,"Holiday",1,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Dry","Artificial_enough","Clear","N","Yes","Other","Light","N","N","N","N","N"
